# 道路統計年報2025「道路の現況」の都道府県別道路現況。令和6年3月31日現在。
# 出典 国土交通省
#   表8  一般国道       https://www.mlit.go.jp/road/ir/ir-data/tokei-nen/2025/xlsx/d_genkyou08.xlsx
#   表11 都道府県道 計   https://www.mlit.go.jp/road/ir/ir-data/tokei-nen/2025/xlsx/d_genkyou11.xlsx
#   表12 主要地方道     https://www.mlit.go.jp/road/ir/ir-data/tokei-nen/2025/xlsx/d_genkyou12.xlsx
#   表13 一般都道府県道  https://www.mlit.go.jp/road/ir/ir-data/tokei-nen/2025/xlsx/d_genkyou13.xlsx
# 凡例 https://www.mlit.go.jp/road/ir/ir-data/tokei-nen/2025/pdf/d_hanrei.pdf
# 国土交通省の利用規約に従って再配布する。加工は、四つのシートから下の列だけを抜き、
# 行の種別(kind)と表の番号(table)を足したことに尽きる。値そのものは変えていない。
#
# 値の単位はメートルである。シートの見出しは Km と書くが、セルはメートルで入っている。
# kind=pref の 47 行と kind=city の 20 行は互いに素で、足すと kind=total 行に一致する。
# 政令指定都市は都道府県とは別の道路管理者なので、県の行に含まれない。
#
# 列と各表の見出しの対応:
#   total=総延長  concurrent=重用延長  unopened=未供用延長  unopened_sea=うち海上区間
#   ferry=渡船場の延長  actual=実延長  current=現道  former=旧道  new=新道
#   median=道路実延長のうち中央帯を設置した延長
# どの表でも 実延長 = 総延長 - 重用延長 - 未供用延長 - 渡船延長 で、
# 実延長 = 現道 + 旧道 + 新道 である。median は実延長の内数で、この和には入らない。
#
# routes(路線数)は数え上げなので足せない。表8 は合計の行だけが持ち、表11・表12・表13 は
# すべての行が持つ。後者を足すと表11 で合計を 404 上回る。政令指定都市とその県の両方に
# またがる路線が、二つの行に現れるためである。
#
# 表11 = 表12 + 表13 が、行ごとに、どの列でも成り立つ。路線数についても成り立つ。
# 写し間違いを機械で捕まえられるのは、合計の行との一致と、この分解の二つだけである。
# annual_report.py が読み込みのたびに両方を確かめる。
table,kind,code,name,total_m,concurrent_m,unopened_m,unopened_sea_m,ferry_m,actual_m,current_m,former_m,new_m,median_m,routes
8,pref,01,北海道,8257842,1472949,127100,55000,0,6657793,6225877,33196,398720,927058,
8,pref,02,青森県,1683802,231348,0,0,0,1452454,1189986,58291,204177,93809,
8,pref,03,岩手県,2062332,109421,0,0,0,1952911,1938588,4003,10320,148919,
8,pref,04,宮城県,1285393,165117,0,0,0,1120276,1082684,24930,12662,122896,
8,pref,05,秋田県,1664972,284632,0,0,0,1380340,1270134,5721,104485,84092,
8,pref,06,山形県,1217502,83204,0,0,0,1134298,1061289,37382,35627,119906,
8,pref,07,福島県,2259516,246206,10800,0,0,2002510,1909746,30701,62063,195061,
8,pref,08,茨城県,1342917,155068,7670,0,0,1180179,1035160,61567,83452,190057,
8,pref,09,栃木県,1030238,140019,0,0,0,890219,763400,38826,87993,153360,
8,pref,10,群馬県,1085710,125941,23806,0,0,935963,831804,27879,76280,162629,
8,pref,11,埼玉県,839330,16216,16500,0,0,806614,625567,83945,97102,309093,
8,pref,12,千葉県,1339898,122454,41990,5000,0,1175454,1032994,50940,91520,219785,
8,pref,13,東京都,355743,6783,1021,0,0,347939,319424,5398,23117,113578,
8,pref,14,神奈川県,447788,32890,7690,0,0,407208,393229,7662,6317,151690,
8,pref,15,新潟県,2257876,337176,112633,111600,0,1808067,1748270,17689,42108,100721,
8,pref,16,富山県,572008,49397,0,0,0,522611,509072,10319,3220,114513,
8,pref,17,石川県,781220,157820,0,0,0,623400,617605,3674,2121,65860,
8,pref,18,福井県,1026084,203695,938,0,0,821451,731613,16722,73116,84774,
8,pref,19,山梨県,605050,9553,0,0,0,595497,549801,20087,25609,42917,
8,pref,20,長野県,1944860,233032,16000,0,0,1695828,1592689,38825,64314,96647,
8,pref,21,岐阜県,1862837,273470,28100,0,0,1561267,1537018,9071,15178,188535,
8,pref,22,静岡県,835524,22229,3800,0,0,809495,718874,46778,43843,154117,
8,pref,23,愛知県,1356781,153689,72,0,0,1203020,1128493,3269,71258,371959,
8,pref,24,三重県,1485790,210093,60264,22100,0,1215433,1114766,71415,29252,207944,
